"ID","RT","age"
"HAVEN_06UTR12MNO",1.6849,52.86575342
"HAVEN_06UTR12MNO",4.3317,52.86575342
"HAVEN_06UTR12MNO",2.5786,52.86575342
"HAVEN_06UTR12MNO",0.8206,52.86575342
"HAVEN_06UTR12MNO",2.0561,52.86575342
"HAVEN_06UTR12MNO",3.0584,52.86575342
"HAVEN_06UTR12MNO",3.1986,52.86575342
"HAVEN_06UTR12MNO",1.7906,52.86575342
"HAVEN_06UTR12MNO",2.0328,52.86575342
"HAVEN_06UTR12MNO",1.5899,52.86575342
"HAVEN_06UTR12MNO",1.3821,52.86575342
"HAVEN_06UTR12MNO",1.4135,52.86575342
"HAVEN_06UTR12MNO",2.2645,52.86575342
"HAVEN_06UTR12MNO",1.7194,52.86575342
"HAVEN_06UTR12MNO",3.7158,52.86575342
"HAVEN_06UTR12MNO",1.4949,52.86575342
"HAVEN_06UTR12MNO",2.386,52.86575342
"HAVEN_06UTR12MNO",2.8072,52.86575342
"HAVEN_06UTR12MNO",1.7808,52.86575342
"HAVEN_06UTR12MNO",3.5025,52.86575342
"HAVEN_06UTR12MNO",1.1825,52.86575342
"HAVEN_06UTR12MNO",2.3597,52.86575342
"HAVEN_06UTR12MNO",4.2639,52.86575342
"HAVEN_06UTR12MNO",1.0256,52.86575342
"HAVEN_06UTR12MNO",3.3423,52.86575342
"HAVEN_06UTR12MNO",1.0785,52.86575342
"HAVEN_06UTR12MNO",2.0201,52.86575342
"HAVEN_06UTR12MNO",1.9429,52.86575342
"HAVEN_06UTR12MNO",1.4071,52.86575342
"HAVEN_06UTR12MNO",2.7786,52.86575342
"HAVEN_06UTR12MNO",2.5622,52.86575342
"HAVEN_06UTR12MNO",3.5482,52.86575342
"HAVEN_06UTR12MNO",2.5977,52.86575342
"HAVEN_06UTR12MNO",2.3825,52.86575342
"HAVEN_06UTR12MNO",1.7633,52.86575342
"HAVEN_06UTR12MNO",2.0094,52.86575342
"HAVEN_06UTR12MNO",3.7864,52.86575342
"HAVEN_06UTR12MNO",4.1643,52.86575342
"HAVEN_06UTR12MNO",2.6764,52.86575342
"HAVEN_06UTR12MNO",2.4465,52.86575342
"HAVEN_06UTR12MNO",2.6244,52.86575342
"HAVEN_06UTR12MNO",1.2635,52.86575342
"HAVEN_06UTR12MNO",1.3357,52.86575342
"HAVEN_06UTR12MNO",3.1432,52.86575342
"HAVEN_06UTR12MNO",2.9139,52.86575342
"HAVEN_06UTR12MNO",2.7268,52.86575342
"HAVEN_06UTR12MNO",1.5637,52.86575342
"HAVEN_06UTR12MNO",1.4949,52.86575342
"HAVEN_06UTR12MNO",2.517,52.86575342
"HAVEN_06UTR12MNO",2.0054,52.86575342
"HAVEN_06UTR12MNO",1.7342,52.86575342
"HAVEN_06UTR12MNO",3.0149,52.86575342
"HAVEN_06UTR12MNO",2.6305,52.86575342
"HAVEN_06UTR12MNO",3.9723,52.86575342
"HAVEN_06UTR12MNO",2.6153,52.86575342
"HAVEN_06UTR12MNO",2.6786,52.86575342
"HAVEN_06UTR12MNO",3.1656,52.86575342
"HAVEN_06UTR12MNO",1.8419,52.86575342
"HAVEN_06UTR12MNO",1.8386,52.86575342
"HAVEN_06UTR12MNO",2.0253,52.86575342
"HAVEN_06UTR12MNO",1.7843,52.86575342
"HAVEN_06UTR12MNO",3.7661,52.86575342
"HAVEN_06UTR12MNO",2.057,52.86575342
"HAVEN_06UTR12MNO",1.787,52.86575342
"HAVEN_06UTR12MNO",2.1636,52.86575342
"HAVEN_06UTR12MNO",2.2934,52.86575342
"HAVEN_06UTR12MNO",2.7331,52.86575342
"HAVEN_06UTR12MNO",2.1963,52.86575342
"HAVEN_06UTR12MNO",2.9101,52.86575342
"HAVEN_06UTR12MNO",1.8223,52.86575342
"HAVEN_06UTR12MNO",2.0888,52.86575342
"HAVEN_06UTR12MNO",2.1964,52.86575342
"HAVEN_06UTR12MNO",1.5402,52.86575342
"HAVEN_06UTR12MNO",2.319,52.86575342
"HAVEN_06UTR12MNO",1.6367,52.86575342
"HAVEN_06UTR12MNO",3.0307,52.86575342
"HAVEN_06UTR12MNO",2.028,52.86575342
"HAVEN_06UTR12MNO",2.3906,52.86575342
"HAVEN_06UTR12MNO",1.505,52.86575342
"HAVEN_06UTR12MNO",2.1196,52.86575342
"HAVEN_06UTR12MNO",0.9034,52.86575342
"HAVEN_06UTR12MNO",1.3596,52.86575342
"HAVEN_06UTR12MNO",1.9347,52.86575342
"HAVEN_06UTR12MNO",3.1717,52.86575342
"HAVEN_06UTR12MNO",3.68,52.86575342
"HAVEN_06UTR12MNO",1.5854,52.86575342
"HAVEN_06UTR12MNO",2.6119,52.86575342
"HAVEN_06UTR12MNO",2.8122,52.86575342
"HAVEN_06UTR12MNO",4.1558,52.86575342
"HAVEN_06UTR12MNO",1.8269,52.86575342
"HAVEN_06UTR12MNO",1.8128,52.86575342
"HAVEN_06UTR12MNO",1.9878,52.86575342
"HAVEN_06UTR12MNO",2.6325,52.86575342
"HAVEN_08SKO33AKB",0.801,54.94246575
"HAVEN_08SKO33AKB",1.2704,54.94246575
"HAVEN_08SKO33AKB",1.4457,54.94246575
"HAVEN_08SKO33AKB",1.9807,54.94246575
"HAVEN_08SKO33AKB",1.9306,54.94246575
"HAVEN_08SKO33AKB",1.8457,54.94246575
"HAVEN_08SKO33AKB",1.4546,54.94246575
"HAVEN_08SKO33AKB",1.6019,54.94246575
"HAVEN_08SKO33AKB",1.8055,54.94246575
"HAVEN_08SKO33AKB",1.6859,54.94246575
"HAVEN_08SKO33AKB",2.7858,54.94246575
"HAVEN_08SKO33AKB",1.6001,54.94246575
"HAVEN_08SKO33AKB",2.3668,54.94246575
"HAVEN_08SKO33AKB",0.9156,54.94246575
"HAVEN_08SKO33AKB",1.385,54.94246575
"HAVEN_08SKO33AKB",2.115,54.94246575
"HAVEN_08SKO33AKB",1.8356,54.94246575
"HAVEN_08SKO33AKB",0.9453,54.94246575
"HAVEN_08SKO33AKB",1.2904,54.94246575
"HAVEN_08SKO33AKB",1.5205,54.94246575
"HAVEN_08SKO33AKB",1.2057,54.94246575
"HAVEN_08SKO33AKB",2.2101,54.94246575
"HAVEN_08SKO33AKB",1.2056,54.94246575
"HAVEN_08SKO33AKB",1.0106,54.94246575
"HAVEN_08SKO33AKB",2.2014,54.94246575
"HAVEN_08SKO33AKB",2.2056,54.94246575
"HAVEN_08SKO33AKB",1.8062,54.94246575
"HAVEN_08SKO33AKB",1.5853,54.94246575
"HAVEN_08SKO33AKB",2.115,54.94246575
"HAVEN_08SKO33AKB",1.4803,54.94246575
"HAVEN_08SKO33AKB",1.6251,54.94246575
"HAVEN_08SKO33AKB",2.2119,54.94246575
"HAVEN_08SKO33AKB",1.3554,54.94246575
"HAVEN_08SKO33AKB",2.0753,54.94246575
"HAVEN_08SKO33AKB",1.6305,54.94246575
"HAVEN_08SKO33AKB",1.46,54.94246575
"HAVEN_08SKO33AKB",1.5201,54.94246575
"HAVEN_08SKO33AKB",2.4004,54.94246575
"HAVEN_08SKO33AKB",2.751,54.94246575
"HAVEN_08SKO33AKB",1.0855,54.94246575
"HAVEN_08SKO33AKB",1.6957,54.94246575
"HAVEN_08SKO33AKB",2.3403,54.94246575
"HAVEN_08SKO33AKB",1.3361,54.94246575
"HAVEN_08SKO33AKB",1.4558,54.94246575
"HAVEN_08SKO33AKB",0.8451,54.94246575
"HAVEN_08SKO33AKB",2.2525,54.94246575
"HAVEN_08SKO33AKB",1.2903,54.94246575
"HAVEN_08SKO33AKB",1.6701,54.94246575
"HAVEN_08SKO33AKB",1.3757,54.94246575
"HAVEN_08SKO33AKB",2.0333,54.94246575
"HAVEN_08SKO33AKB",1.4565,54.94246575
"HAVEN_08SKO33AKB",2.9901,54.94246575
"HAVEN_08SKO33AKB",1.4654,54.94246575
"HAVEN_08SKO33AKB",3.0564,54.94246575
"HAVEN_08SKO33AKB",0.8508,54.94246575
"HAVEN_08SKO33AKB",1.1704,54.94246575
"HAVEN_08SKO33AKB",1.946,54.94246575
"HAVEN_08SKO33AKB",2.0458,54.94246575
"HAVEN_08SKO33AKB",1.0854,54.94246575
"HAVEN_08SKO33AKB",1.2901,54.94246575
"HAVEN_08SKO33AKB",1.1512,54.94246575
"HAVEN_08SKO33AKB",1.9312,54.94246575
"HAVEN_08SKO33AKB",0.9067,54.94246575
"HAVEN_08SKO33AKB",2.196,54.94246575
"HAVEN_08SKO33AKB",3.3303,54.94246575
"HAVEN_08SKO33AKB",1.1955,54.94246575
"HAVEN_08SKO33AKB",2.5054,54.94246575
"HAVEN_08SKO33AKB",1.6807,54.94246575
"HAVEN_08SKO33AKB",1.5159,54.94246575
"HAVEN_08SKO33AKB",1.7159,54.94246575
"HAVEN_08SKO33AKB",1.66,54.94246575
